Time,CPU usage(%),Total CPU cores,Memory usage,Total memory,IO/sec in,IO/sec out,Network IO in,Network IO in,Swap total,Swap used
19:28:30,0.5,1,547776,1877,0,0,1,0,4031,1696
19:28:40,0.2,1,546860,1877,0,0,0,0,4031,1696
19:28:50,0.4,1,546060,1877,0,0,0,0,4031,1696
19:29:00,0.4,1,545244,1877,0,0,1,0,4031,1696
19:29:10,0.7,1,549236,1877,0,0,1,0,4031,1696
19:29:20,0.2,1,548572,1877,48,0,0,0,4031,1696
19:29:30,0.4,1,547780,1877,0,0,1,0,4031,1696
19:29:40,0.4,1,546968,1877,0,0,0,0,4031,1696
19:29:50,0.4,1,546052,1877,0,0,0,0,4031,1696
19:30:00,0.3,1,545252,1877,0,0,0,0,4031,1696
19:30:10,0.8,1,549492,1877,0,0,0,0,4031,1696
19:30:20,0.3,1,548572,1877,0,0,1,0,4031,1696
19:30:30,0.3,1,547748,1877,0,0,1,0,4031,1696
19:30:40,0.4,1,546956,1877,0,0,0,0,4031,1696
19:30:50,0.4,1,546152,1877,0,0,0,0,4031,1696
19:31:00,0.5,1,545236,1877,0,0,0,0,4031,1696
19:31:10,0.8,1,549464,1877,0,0,0,0,4031,1696
19:31:20,0.2,1,548548,1877,0,0,0,0,4031,1696
19:31:30,0.4,1,547756,1877,0,0,0,0,4031,1696
19:31:40,0.3,1,546964,1877,0,0,0,0,4031,1696
19:31:50,0.3,1,546164,1877,0,0,0,0,4031,1696
19:32:00,0.4,1,545224,1877,0,0,1,0,4031,1696
19:32:10,0.9,1,549212,1877,0,0,1,0,4031,1696
19:32:20,0.3,1,548544,1877,0,0,0,0,4031,1696
19:32:30,0.4,1,547748,1877,0,0,0,0,4031,1696
19:32:40,0.3,1,546948,1877,0,0,0,0,4031,1696
19:32:50,0.2,1,546140,1877,0,0,1,0,4031,1696
19:33:00,0.3,1,545216,1877,0,0,0,0,4031,1696
19:33:10,0.8,1,549204,1877,0,0,0,0,4031,1696
19:33:20,0.5,1,548536,1877,72,0,0,0,4031,1696
19:33:30,0.4,1,547736,1877,0,0,0,0,4031,1696
19:33:40,0.2,1,546944,1877,0,0,0,0,4031,1696
19:33:50,0.4,1,546144,1877,0,0,0,0,4031,1696
19:34:00,0.3,1,545220,1877,0,0,0,0,4031,1696
19:34:10,0.8,1,549436,1877,0,0,0,0,4031,1696
19:34:20,0.4,1,548520,1877,0,0,0,0,4031,1696
19:34:30,0.3,1,547720,1877,0,0,1,0,4031,1696
19:34:40,0.4,1,546928,1877,0,0,0,0,4031,1696
19:34:50,0.3,1,546136,1877,0,0,0,0,4031,1696
19:35:00,0.5,1,545204,1877,0,0,0,0,4031,1696
19:35:10,0.7,1,549184,1877,0,0,0,0,4031,1696
19:35:20,0.6,1,548516,1877,0,0,1,0,4031,1696
19:35:30,0.3,1,547724,1877,0,0,0,0,4031,1696
19:35:40,0.4,1,546932,1877,0,0,0,0,4031,1696
19:35:50,0.3,1,546124,1877,0,0,0,0,4031,1696
19:36:00,0.6,1,545200,1877,0,0,0,0,4031,1696
19:36:10,0.7,1,549304,1877,0,0,0,0,4031,1696
19:36:20,0.3,1,548636,1877,0,0,0,0,4031,1696
19:36:30,0.4,1,547720,1877,0,0,0,0,4031,1696
19:36:40,0.5,1,546928,1877,0,0,0,0,4031,1696
19:36:50,0.2,1,546128,1877,0,0,0,0,4031,1696
19:37:00,0.4,1,545188,1877,0,0,1,0,4031,1696
19:37:10,0.7,1,549044,1877,0,0,1,0,4031,1696
19:37:20,0.4,1,548640,1877,0,0,0,0,4031,1696
19:37:30,0.6,1,547716,1877,0,0,0,0,4031,1696
19:37:40,0.3,1,546908,1877,0,0,0,0,4031,1696
19:37:50,0.3,1,546108,1877,48,0,1,0,4031,1696
19:38:00,0.3,1,545308,1877,0,0,0,0,4031,1696
19:38:10,0.7,1,549408,1877,0,0,0,0,4031,1696
19:38:20,0.5,1,548608,1877,0,0,0,0,4031,1696
19:38:30,0.5,1,547808,1877,0,0,0,0,4031,1696
19:38:40,0.3,1,546892,1877,0,0,0,0,4031,1696
19:38:50,0.4,1,546100,1877,0,0,0,0,4031,1696
19:39:00,0.3,1,545284,1877,0,0,0,0,4031,1696
19:39:10,0.8,1,549272,1877,0,0,0,0,4031,1696
19:39:20,0.4,1,548608,1877,0,0,0,0,4031,1696
19:39:30,0.3,1,547800,1877,0,0,0,0,4031,1696
19:39:40,0.4,1,546884,1877,0,0,0,0,4031,1696
19:39:50,0.3,1,546084,1877,0,0,1,0,4031,1696
19:40:00,0.3,1,545280,1877,0,0,0,0,4031,1696
19:40:10,1.0,1,549528,1877,0,0,0,0,4031,1696
19:40:20,0.4,1,548612,1877,0,0,0,0,4031,1696
19:40:30,0.4,1,547808,1877,0,0,0,0,4031,1696
19:40:40,0.3,1,547016,1877,0,0,0,0,4031,1696
19:40:50,0.3,1,546092,1877,0,0,1,0,4031,1696
19:41:00,0.5,1,545276,1877,0,0,0,0,4031,1696
19:41:10,0.8,1,549256,1877,0,0,0,0,4031,1696
19:41:20,0.3,1,548588,1877,0,0,0,0,4031,1696
19:41:30,0.3,1,547796,1877,0,0,0,0,4031,1696
19:41:40,0.5,1,547004,1877,0,0,1,0,4031,1696
19:41:50,0.3,1,546064,1877,44,0,0,0,4031,1696
19:42:00,0.4,1,545260,1877,0,0,0,0,4031,1696
19:42:10,0.7,1,549120,1877,0,0,1,0,4031,1696
19:42:20,0.4,1,548568,1877,0,0,0,0,4031,1696
19:42:30,0.4,1,547784,1877,0,0,0,0,4031,1696
19:42:40,0.4,1,546852,1877,0,0,1,0,4031,1696
19:42:50,0.3,1,546068,1877,0,0,0,0,4031,1696
19:43:00,0.4,1,545252,1877,0,0,0,0,4031,1696
19:43:10,0.7,1,549480,1877,0,0,0,0,4031,1696
19:43:20,0.3,1,548548,1877,0,0,0,0,4031,1696
19:43:30,0.5,1,547764,1877,0,0,0,0,4031,1696
19:43:40,0.4,1,546964,1877,0,0,1,0,4031,1696
19:43:50,0.3,1,546052,1877,0,0,1,0,4031,1696
19:44:00,0.4,1,545240,1877,0,0,0,0,4031,1696
19:44:10,0.6,1,549352,1877,72,0,0,0,4031,1696
19:44:20,0.4,1,548556,1877,0,0,0,0,4031,1696
19:44:30,0.3,1,547772,1877,0,0,0,0,4031,1696
19:44:40,0.4,1,546956,1877,0,0,0,0,4031,1696
19:44:50,0.4,1,546048,1877,0,0,0,0,4031,1696
19:45:00,0.4,1,545240,1877,0,0,1,0,4031,1696
19:45:10,0.8,1,548972,1877,0,0,0,0,4031,1696
19:45:20,0.4,1,548544,1877,0,0,0,0,4031,1696
19:45:30,0.4,1,547756,1877,0,0,1,0,4031,1696
19:45:40,0.4,1,546956,1877,8,0,0,0,4031,1696
19:45:50,0.3,1,546048,1877,0,0,1,0,4031,1696
19:46:00,0.4,1,545232,1877,0,0,0,0,4031,1696
19:46:10,1.0,1,549080,1877,0,0,0,0,4031,1696
19:46:20,0.4,1,548528,1877,0,0,0,0,4031,1696
19:46:30,0.4,1,547740,1877,0,0,0,0,4031,1696
